iter	Logloss
0	0.6602001506
1	0.6302364893
2	0.6010690574
3	0.5727839277
4	0.5474172555
5	0.5233329005
6	0.5031003399
7	0.4829728264
8	0.4653384628
9	0.4487455327
10	0.4316147215
11	0.416699389
12	0.4015712486
13	0.387419525
14	0.3752940112
15	0.3642218058
16	0.3521742766
17	0.3427539417
18	0.3328958787
19	0.3252724242
20	0.3167155232
21	0.3085856162
22	0.3011849209
23	0.2930666505
24	0.2860549447
25	0.2802145941
26	0.2734933025
27	0.2684621893
28	0.263137266
29	0.2582199584
30	0.2538883594
31	0.2494520198
32	0.2457251344
33	0.2415274283
34	0.2370467244
35	0.232575201
36	0.2294732033
37	0.2257901859
38	0.2234928785
39	0.2203878498
40	0.218199138
41	0.2153733008
42	0.2125897476
43	0.2098242807
44	0.2074177653
45	0.2049244308
46	0.2025041042
47	0.2008826903
48	0.1988140522
49	0.1966123622
50	0.1949786316
51	0.1933020817
52	0.191830868
53	0.189990778
54	0.1885079193
55	0.1871970824
56	0.1858297185
57	0.1846472379
58	0.1831027637
59	0.1810286767
60	0.1795529066
61	0.1787071548
62	0.1774824701
63	0.1761410775
64	0.1749052627
65	0.1732264621
66	0.1721482502
67	0.1719314316
68	0.1705475208
69	0.1695061765
70	0.1686142138
71	0.1676787588
72	0.1669279187
73	0.1660381528
74	0.1650054019
75	0.1642728063
76	0.1632636227
77	0.1621619047
78	0.1609007502
79	0.1598497472
80	0.1592009449
81	0.1586192438
82	0.1584814303
83	0.1575175898
84	0.1567771482
85	0.1557531922
86	0.1551367453
87	0.154625693
88	0.1540511772
89	0.1531287227
90	0.1521245582
91	0.1515414735
92	0.1511154202
93	0.1506556783
94	0.149909811
95	0.1493597555
96	0.1492434835
97	0.1485162347
98	0.1478538629
99	0.1469738252
