iter	Passed	Remaining
0	0	47
1	0	42
2	1	39
3	1	36
4	1	33
5	2	33
6	2	31
7	2	30
8	2	29
9	3	27
10	3	27
11	3	26
12	3	25
13	4	24
14	4	24
15	4	23
16	4	23
17	5	23
18	5	23
19	5	23
20	6	22
21	6	22
22	6	22
23	7	22
24	7	23
25	8	23
26	8	22
27	8	22
28	9	22
29	9	22
30	10	22
31	10	22
32	10	22
33	11	22
34	12	22
35	12	22
36	13	22
37	13	22
38	14	22
39	14	22
40	15	21
41	15	21
42	16	21
43	16	20
44	16	20
45	17	20
46	17	19
47	18	19
48	18	19
49	18	18
50	19	18
51	19	18
52	19	17
53	20	17
54	20	16
55	21	16
56	21	16
57	21	15
58	22	15
59	22	15
60	23	14
61	23	14
62	23	13
63	24	13
64	25	13
65	25	13
66	26	12
67	26	12
68	26	12
69	27	11
70	27	11
71	28	11
72	28	10
73	28	10
74	29	9
75	29	9
76	29	8
77	30	8
78	30	8
79	31	7
80	31	7
81	31	6
82	32	6
83	32	6
84	33	5
85	33	5
86	33	5
87	34	4
88	34	4
89	34	3
90	34	3
91	35	3
92	35	2
93	35	2
94	35	1
95	36	1
96	36	1
97	36	0
98	37	0
99	37	0
