,Series_Title,Released_Year,Certificate,Runtime,IMDB_Rating,Meta_score,Director,Gross,Drama,Crime,Action,Biography,Western,Comedy,Adventure,Animation,Horror,Mystery,Film-Noir,Fantasy,Family,Thriller,Romance,Sci-Fi,War,Music,Musical,Sport,History
0,The Shawshank Redemption,1994,A,142 min,9.3,80.0,Frank Darabont,"28,341,469",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,The Godfather,1972,A,175 min,9.2,100.0,Francis Ford Coppola,"134,966,411",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,The Dark Knight,2008,UA,152 min,9.0,84.0,Christopher Nolan,"534,858,444",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,The Godfather: Part II,1974,A,202 min,9.0,90.0,Francis Ford Coppola,"57,300,000",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,12 Angry Men,1957,U,96 min,9.0,96.0,Sidney Lumet,"4,360,000",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,The Lord of the Rings: The Return of the King,2003,U,201 min,8.9,94.0,Peter Jackson,"377,845,905",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Pulp Fiction,1994,A,154 min,8.9,94.0,Quentin Tarantino,"107,928,762",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Schindler's List,1993,A,195 min,8.9,94.0,Steven Spielberg,"96,898,818",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,Inception,2010,UA,148 min,8.8,74.0,Christopher Nolan,"292,576,195",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,Fight Club,1999,A,139 min,8.8,66.0,David Fincher,"37,030,102",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,The Lord of the Rings: The Fellowship of the Ring,2001,U,178 min,8.8,92.0,Peter Jackson,"315,544,750",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Forrest Gump,1994,UA,142 min,8.8,82.0,Robert Zemeckis,"330,252,182",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,"Il buono, il brutto, il cattivo",1966,A,161 min,8.8,90.0,Sergio Leone,"6,100,000",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,The Lord of the Rings: The Two Towers,2002,UA,179 min,8.7,87.0,Peter Jackson,"342,551,365",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,The Matrix,1999,A,136 min,8.7,73.0,Lana Wachowski,"171,479,930",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,Goodfellas,1990,A,146 min,8.7,90.0,Martin Scorsese,"46,836,394",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Star Wars: Episode V - The Empire Strikes Back,1980,UA,124 min,8.7,82.0,Irvin Kershner,"290,475,067",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,One Flew Over the Cuckoo's Nest,1975,A,133 min,8.7,83.0,Milos Forman,"112,000,000",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Hamilton,2020,PG-13,160 min,8.6,90.0,Thomas Kail,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,Gisaengchung,2019,A,132 min,8.6,96.0,Bong Joon Ho,"53,367,844",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,Soorarai Pottru,2020,U,153 min,8.6,,Sudha Kongara,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Interstellar,2014,UA,169 min,8.6,74.0,Christopher Nolan,"188,020,017",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,Cidade de Deus,2002,A,130 min,8.6,79.0,Fernando Meirelles,"7,563,397",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
